"File","Sheet","Row","Source","Type","Field","Value","Message"
"dispatch","Sheet1","448","260300123","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000574","Dispatch 260300123 has no matching Sales Order (searched by PBO NCLH30000574, order 251100245, invoice 900003299, chassis MCCJY7PRMTN102719, engine SQRH4J15AGTA60558); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","449","260300124","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000599","Dispatch 260300124 has no matching Sales Order (searched by PBO NCLH30000599, order 251100269, invoice 900003298, chassis MCCJY7PRMTN102647, engine SQRH4J15AGSM61138); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","450","260300125","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000591","Dispatch 260300125 has no matching Sales Order (searched by PBO NCLH30000591, order 251100261, invoice 900003295, chassis MCCJY7PRMTN102653, engine SQRH4J15AGSM60897); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","451","260300126","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000615","Dispatch 260300126 has no matching Sales Order (searched by PBO NCLH30000615, order 251100285, invoice 900003297, chassis MCCJY7PRMTN102689, engine SQRH4J15AGTA60606); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","452","260300128","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000570","Dispatch 260300128 has no matching Sales Order (searched by PBO NCLH30000570, order 251100241, invoice 900003319, chassis MCCJY7PRMTN102772, engine SQRH4J15AGSM61216); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","453","260300130","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000535","Dispatch 260300130 has no matching Sales Order (searched by PBO NCLH30000535, order 251100207, invoice 900003325, chassis MCCJY7PRMTN102821, engine SQRH4J15AGSM60625); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","454","260300131","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000483","Dispatch 260300131 has no matching Sales Order (searched by PBO NCLH30000483, order 251100156, invoice 900003326, chassis MCCJY7PRMTN102745, engine SQRH4J15AGSM60602); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","455","260300132","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000526","Dispatch 260300132 has no matching Sales Order (searched by PBO NCLH30000526, order 251100198, invoice 900003329, chassis MCCJY7PRMTN102793, engine SQRH4J15AGSM60627); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","456","260300133","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000528","Dispatch 260300133 has no matching Sales Order (searched by PBO NCLH30000528, order 251100200, invoice 900003330, chassis MCCJY7PRMTN102797, engine SQRH4J15AGSM60706); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","458","260300134","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000586","Dispatch 260300134 has no matching Sales Order (searched by PBO NCLH30000586, order 251100256, invoice 900003334, chassis MCCJY7PRMTN102284, engine SQRH4J15AGSM60406); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
